reaction_id,mass_transition_round,mass_transition,substrate_id,substrate_mnx_id,substrate_mm,product_id,product_mnx_id,product_mm
6702,2.02,2.015650063999999,4685,MNXM821,58.041864812,26892,MNXM6396,60.057514876
40208,2.02,2.015650063999999,13045,MNXM1017,72.057514876,16243,MNXM3230,74.07316494
30,2.02,2.015650063999999,13045,MNXM1017,72.057514876,16243,MNXM3230,74.07316494
30749,-1.01,-1.0083736119099171,8230,MNXM765,327.99895940764,9629,MNXM601,326.99058579573006
17302,-14.99,-14.987638167910006,8080,MNXM13228,185.15470349191,16033,MNXM29216,170.167065324
29484,-15.99,-15.994914620000003,1190,MNXM22174,214.193280072,16906,MNXM23685,198.198365452
3686,-14.99,-14.987638167910006,518,MNXM108,255.23295381191002,15872,MNXM528,240.24531564400002
9725,-14.99,-14.987638167910006,4496,MNXM236,283.26425393991,27313,MNXM2269,268.276615772
25234,-14.99,-14.987638167910006,2753,MNXM383,174.05605207591,20913,MNXM518,159.068413908
29230,-14.99,-14.987638167910006,2753,MNXM383,174.05605207591,20913,MNXM518,159.068413908
15554,-14.99,-14.987638167910006,5872,MNXM26,59.01385291591001,3297,MNXM75,44.026214748
20950,-14.99,-14.987638167910006,5872,MNXM26,59.01385291591001,3297,MNXM75,44.026214748
23382,-14.99,-14.987638167910006,15814,MNXM29,75.0320284,12312,MNXM2212,60.044390232089995
10416,-14.99,-14.987638167910006,19405,MNXM1653,115.07645317191,21649,MNXM8718,100.088815004
30528,-14.99,-14.987638167910006,22878,MNXM7416,129.09210323591,10332,MNXM8711,114.104465068
33460,-14.99,-14.987638167910006,17654,MNXM750,143.10775329991,15034,MNXM2705,128.120115132
11155,14.99,14.987638167910006,10385,MNXM19927,142.135765196,5014,MNXM12480,157.12340336391
41543,-77.95,-77.95177761782,14029,MNXM77,167.98347166982,1648,MNXM460,90.031694052
20182,115.01,115.01491553591,7151,MNXM117,60.032362748,18665,MNXM584,175.04727828391
34704,59.03,59.02508629591001,6823,MNXM13,43.98982924,10152,MNXM1122,103.01491553591
29308,-14.99,-14.987638167910006,26357,MNXM23,87.00876753591001,15238,MNXM310,72.021129368
42106,-2.02,-2.015650063999999,18886,MNXM1744,74.036779432,15238,MNXM310,72.021129368
275,-2.02,-2.015650063999999,16302,MNXM1255,76.052429496,18886,MNXM1744,74.036779432
1769,2.02,2.015650063999999,18886,MNXM1744,74.036779432,16167,MNXM90191,76.052429496
15307,18.01,18.010564684000002,18485,MNXM1627,177.04046158791,10197,MNXM2011,195.05102627191
24014,0.02,0.023260864089991173,8447,MNXM1312,145.085126592,15809,MNXM2617,145.10838745609
35675,0.02,0.023260864089991173,2753,MNXM383,174.05605207591,4739,MNXM2239,174.07931294
9689,0.02,0.023260864089991173,5872,MNXM26,59.01385291591001,7645,MNXM4428,59.03711378
13373,14.02,14.015650064000056,8266,MNXM558,704.553231544,10654,MNXM223,718.5688816080001
25123,-16.03,-16.031300127999998,10654,MNXM223,718.5688816080001,24170,MNXM2178,702.5375814800001
34471,14.02,14.015650063999942,24170,MNXM2178,702.5375814800001,4691,MNXM509,716.553231544
31736,103.01,103.00918478,15814,MNXM29,75.0320284,15473,MNXM683,178.04121318
20683,-329.05,-329.0525197340003,15693,MNXM8,662.1018453519102,18642,MNXM355,333.0493256179099
19038,-209.99,-209.99403635381995,8489,MNXM1489,346.03443836572995,23274,MNXM188,136.04040201191
10993,10.03,10.028740168089996,23274,MNXM188,136.04040201191,1031,MNXM37,146.06914218
10993,87.99,87.99278312391002,23274,MNXM188,136.04040201191,14580,MNXM337,224.03318513582002
21178,-87.99,-87.99278312391002,14580,MNXM337,224.03318513582002,23274,MNXM188,136.04040201191
21178,-137.02,-137.02441759991,14580,MNXM337,224.03318513582002,26357,MNXM23,87.00876753591001
11973,2.04,2.0389109280900044,5109,MNXM1745,110.048012812,8410,MNXM635,112.08692374009
34705,42.98,42.98255278791001,9968,MNXM1106,74.06004029609,12658,MNXM114087,117.042593084
34502,2.04,2.03891092808999,26646,MNXM1456,218.01035511382,19281,MNXM1482,220.04926604191
24460,18.01,18.010564684000002,17903,MNXM911,127.063328528,1092,MNXM916,145.073893212
18417,408.01,408.01157380391004,8252,MNXM3,502.9666396536398,21816,MNXM2412,910.9782134575498
14728,58.07,58.06512567608999,20099,MNXM118,90.11460128818001,11260,MNXM124,148.17972696427
28452,-2.04,-2.03891092808999,23538,MNXM144,89.047678464,10104,MNXM244,87.00876753591001
30440,-60.02,-60.021129368000004,14181,MNXM1872,229.05973423182002,2411,MNXM480,169.03860486382
30642,-2.04,-2.03891092808999,23538,MNXM144,89.047678464,10104,MNXM244,87.00876753591001
30642,0.0,0.0,26357,MNXM23,87.00876753591001,10104,MNXM244,87.00876753591001
16832,-58.07,-58.06512567608999,5808,MNXM6170,162.19537702826997,7162,MNXM943,104.13025135217998
21629,0.02,0.023260864089991173,20342,MNXM792,117.078978592,26806,MNXM2090,117.10223945608999
31049,44.03,44.026214747999916,16925,MNXM256,422.02259027182,13169,MNXM1705,466.0488050198199
19530,-2.02,-2.015650063999999,2487,MNXM1178,354.05876184982003,4684,MNXM1532,352.04311178582003
38588,-2.04,-2.03891092808999,17291,MNXM1153,131.11788952009,5308,MNXM1527,129.078978592
9465,2.04,2.03891092808999,18833,MNXM1410,115.04006766391001,20342,MNXM792,117.078978592
8193,2.02,2.015650063999999,12499,MNXM778,148.037173356,691,MNXM544,150.05282342
17724,2.02,2.015650063999999,12499,MNXM778,148.037173356,691,MNXM544,150.05282342
26157,-185.08,-185.08083531608992,21896,MNXM2806,350.04138046981996,12505,MNXM73,164.96054515373004
26157,77.95,77.95177761782003,26357,MNXM23,87.00876753591001,12505,MNXM73,164.96054515373004
32339,-86.07,-86.07127367608999,7032,MNXM1037,173.080041212,26357,MNXM23,87.00876753591001
11805,-93.95,-93.94669223782,25912,MNXM1177,210.98928532182,25947,MNXM361,117.042593084
12640,58.07,58.06512567609002,11260,MNXM124,148.17972696427,1118,MNXM408,206.24485264036002
6547,77.95,77.95177761782003,26357,MNXM23,87.00876753591001,12505,MNXM73,164.96054515373004
24224,35.06,35.06061249800001,4130,MNXM138,138.96815595382,5904,MNXM465,174.02876845182
35965,-2.02,-2.015650064000056,3640,MNXM191,728.5743609120001,7789,MNXM232,726.558710848
36341,-2.02,-2.015650064000056,10654,MNXM223,718.5688816080001,4691,MNXM509,716.553231544
21558,42.98,42.98255278791001,26357,MNXM23,87.00876753591001,14409,MNXM46,129.99132032382002
32701,-78.96,-78.95905406990994,3440,MNXM344,502.96663965363985,1899,MNXM436,424.0075855837299
40053,2.02,2.015650063999999,12658,MNXM114087,117.042593084,9527,MNXM2125,119.058243148
18482,407.0,407.0042973518198,18549,MNXM9,95.96234230182002,8252,MNXM3,502.9666396536398
25158,407.0,407.0042973518198,18549,MNXM9,95.96234230182002,8252,MNXM3,502.9666396536398
6622,-407.0,-407.0042973518198,8252,MNXM3,502.9666396536398,18549,MNXM9,95.96234230182002
31808,-407.0,-407.0042973518198,8252,MNXM3,502.9666396536398,18549,MNXM9,95.96234230182002
4621,407.0,407.0042973518198,18549,MNXM9,95.96234230182002,8252,MNXM3,502.9666396536398
6494,-407.0,-407.0042973518198,8252,MNXM3,502.9666396536398,18549,MNXM9,95.96234230182002
2674,151.07,151.074561908,23538,MNXM144,89.047678464,13333,MNXM2639,240.122240372
29535,27.99,27.994914620000003,3559,MNXM25,116.01205576782002,27248,MNXM20,144.00697038782002
31796,-14.99,-14.987638167910006,1325,MNXM289,117.078978592,17635,MNXM457,102.09134042408999
29986,-14.99,-14.987638167910006,1325,MNXM289,117.078978592,17635,MNXM457,102.09134042408999
19443,-14.02,-14.015650063999999,1325,MNXM289,117.078978592,4930,MNXM464,103.063328528
17590,-15.99,-15.994914620000003,12095,MNXM3932,259.07580153991,7758,MNXM304,243.08088691991
40216,-15.99,-15.994914620000003,12095,MNXM3932,259.07580153991,7758,MNXM304,243.08088691991
11189,29.96,29.956420936,21791,MNXM1020,213.12446598391,7758,MNXM304,243.08088691991
4440,29.96,29.956420936,21791,MNXM1020,213.12446598391,7758,MNXM304,243.08088691991
43040,29.96,29.956420936,21791,MNXM1020,213.12446598391,7758,MNXM304,243.08088691991
34806,29.96,29.956420936,21791,MNXM1020,213.12446598391,7758,MNXM304,243.08088691991
29714,42.0,41.998537199910004,23538,MNXM144,89.047678464,3241,MNXM802,131.04621566391
25343,2.02,2.015650063999999,21010,MNXM371,106.041864812,22020,MNXM562,108.057514876
2886,-14.99,-14.987638167910006,3649,MNXM217,121.02950297991,21010,MNXM371,106.041864812
14421,-407.0,-407.0042973518198,8252,MNXM3,502.9666396536398,18549,MNXM9,95.96234230182002
16280,-407.0,-407.0042973518198,8252,MNXM3,502.9666396536398,18549,MNXM9,95.96234230182002
21605,-407.0,-407.0042973518198,8252,MNXM3,502.9666396536398,18549,MNXM9,95.96234230182002
20685,787.09,787.0861031536401,21882,MNXM2779,138.031694052,20185,MNXM443,925.1177972056402
1507,87.03,87.0320284,1282,MNXM123,135.035399528,17168,MNXM319,222.067427928
1507,135.06,135.05866039209,26357,MNXM23,87.00876753591001,17168,MNXM319,222.067427928
15102,16.02,16.019272643910007,6823,MNXM13,43.98982924,152,MNXM742,60.009101883910006
9350,94.98,94.97832671382,6823,MNXM13,43.98982924,4130,MNXM138,138.96815595382
34063,71.12,71.12002101617999,6585,MNXM60,60.99311747191,4445,MNXM1243,132.11313848809
34063,42.0,41.998537199909975,20099,MNXM118,90.11460128818001,4445,MNXM1243,132.11313848809
31899,7.1,7.100986226179998,4130,MNXM138,138.96815595382,1031,MNXM37,146.06914218
31899,-77.98,-77.97503848191,4130,MNXM138,138.96815595382,6585,MNXM60,60.99311747191
21192,77.98,77.97503848191,6585,MNXM60,60.99311747191,4130,MNXM138,138.96815595382
4276,407.0,407.0042973518198,18549,MNXM9,95.96234230182002,8252,MNXM3,502.9666396536398
17986,407.0,407.0042973518198,18549,MNXM9,95.96234230182002,8252,MNXM3,502.9666396536398
30587,18.01,18.010564684000002,10749,MNXM5672,202.04773804,21838,MNXM4151,220.05830272400001
24319,-42.01,-42.010564684,21373,MNXM793,146.11755517209,14993,MNXM90,104.10699048808999
25025,-77.95,-77.95177761782,5194,MNXM229,182.05876810591,14993,MNXM90,104.10699048808999
7627,2.02,2.015650063999999,17635,MNXM457,102.09134042408999,14993,MNXM90,104.10699048808999
3480,-77.95,-77.95177761782,5194,MNXM229,182.05876810591,14993,MNXM90,104.10699048808999
17648,-95.96,-95.96234230182,26360,MNXM1365,319.99552743764,14580,MNXM337,224.03318513582002
20181,87.01,87.00876753591001,13069,MNXM164,137.02441759991,14580,MNXM337,224.03318513582002
32194,77.95,77.95177761782003,26357,MNXM23,87.00876753591001,12505,MNXM73,164.96054515373004
17696,0.0,0.0,13372,MNXM11123,17.026549096,22695,MNXM3565,17.026549096
19931,-77.95,-77.95177761782003,12505,MNXM73,164.96054515373004,26357,MNXM23,87.00876753591001
39790,42.0,41.998537199909975,20099,MNXM118,90.11460128818001,4445,MNXM1243,132.11313848809
19143,2.02,2.015650063999999,16890,MNXM858,178.06299418,20678,MNXM880,180.078644244
38155,-14.99,-14.987638167910006,10600,MNXM573,193.05063234791,16890,MNXM858,178.06299418
8547,-76.94,-76.94450116573,13119,MNXM921,340.06363031773003,20176,MNXM3883,263.119129152
24462,912.19,912.1938766713698,3297,MNXM75,44.026214748,9849,MNXM2508,956.2200914193699
28879,94.98,94.97832671382,6823,MNXM13,43.98982924,4130,MNXM138,138.96815595382
9978,-0.98,-0.9840155880000054,8060,MNXM158,112.027277368,7670,MNXM761,111.04326178
34848,153.02,153.01508132809,26357,MNXM23,87.00876753591001,23968,MNXM927,240.023848864
34941,407.0,407.0042973518198,18549,MNXM9,95.96234230182002,8252,MNXM3,502.9666396536398
40351,17.0,17.00328823191,6823,MNXM13,43.98982924,6585,MNXM60,60.99311747191
15504,34.01,34.01098192808999,26357,MNXM23,87.00876753591001,23935,MNXM2112,121.019749464
38264,88.04,88.03930485209,5872,MNXM26,59.01385291591001,19786,MNXM418,147.053157768
24523,121.04,121.04301032808999,11908,MNXM159,101.02441759991001,17168,MNXM319,222.067427928
32522,87.03,87.0320284,1282,MNXM123,135.035399528,17168,MNXM319,222.067427928
12299,25.06,25.05740716218,21913,MNXM1334,197.01002076582,17168,MNXM319,222.067427928
26673,-2.02,-2.015650064000056,3640,MNXM191,728.5743609120001,7789,MNXM232,726.558710848
20862,-2.02,-2.015650064000056,10654,MNXM223,718.5688816080001,4691,MNXM509,716.553231544
30030,-2.02,-2.015650064000056,3640,MNXM191,728.5743609120001,7789,MNXM232,726.558710848
15966,-2.02,-2.015650064000056,3640,MNXM191,728.5743609120001,7789,MNXM232,726.558710848
23859,-2.02,-2.015650064000056,26375,MNXM12233,650.506281352,25599,MNXM12236,648.4906312879999
38946,-2.02,-2.015650064000056,26375,MNXM12233,650.506281352,25599,MNXM12236,648.4906312879999
